Tema Queja;Año;Área;Número de quejas
Olores ofensivos;2017;Los Mártires;4
Olores ofensivos;2017;Antonio Nariño;3
Olores ofensivos;2017;Puente Aranda;2
Olores ofensivos;2017;La Candelaria;1
Olores ofensivos;2017;Rafael Uribe Uribe;5
Olores ofensivos;2017;Ciudad Bolívar;7
Olores ofensivos;2017;Distrito;124
Contaminación por ruido;2017;Usaquén;5
Contaminación por ruido;2017;Chapinero;1
Contaminación por ruido;2017;Santa Fe;2
Contaminación por ruido;2017;San Cristóbal;4
Contaminación por ruido;2017;Usme;1
Contaminación por ruido;2017;Tunjuelito;0
Contaminación por ruido;2017;Bosa;47
Contaminación por ruido;2017;Kennedy;8
Contaminación por ruido;2017;Fontibón;2
Contaminación por ruido;2017;Engativá;9
Contaminación por ruido;2017;Suba;6
Contaminación por ruido;2017;Barrios Unidos;6
Contaminación por ruido;2017;Teusaquillo;1
Contaminación por ruido;2017;Los Mártires;0
Contaminación por ruido;2017;Antonio Nariño;1
Contaminación por ruido;2017;Puente Aranda;3
Contaminación por ruido;2017;La Candelaria;2
Contaminación por ruido;2017;Rafael Uribe Uribe;6
Contaminación por ruido;2017;Ciudad Bolívar;2
Contaminación por ruido;2017;Distrito;106
Radiaciones electromagnéticas;2017;Usaquén;2
Radiaciones electromagnéticas;2017;Chapinero;1
Radiaciones electromagnéticas;2017;Santa Fe;0
Radiaciones electromagnéticas;2017;San Cristóbal;0
Radiaciones electromagnéticas;2017;Usme;0
Radiaciones electromagnéticas;2017;Tunjuelito;0
Radiaciones electromagnéticas;2017;Bosa;1
Radiaciones electromagnéticas;2017;Kennedy;1
Radiaciones electromagnéticas;2017;Fontibón;1
Radiaciones electromagnéticas;2017;Engativá;1
Radiaciones electromagnéticas;2017;Suba;1
Radiaciones electromagnéticas;2017;Barrios Unidos;0
Radiaciones electromagnéticas;2017;Teusaquillo;1
Radiaciones electromagnéticas;2017;Los Mártires;0
Radiaciones electromagnéticas;2017;Antonio Nariño;0
Radiaciones electromagnéticas;2017;Puente Aranda;0
Radiaciones electromagnéticas;2017;La Candelaria;0
Radiaciones electromagnéticas;2017;Rafael Uribe Uribe;1
Radiaciones electromagnéticas;2017;Ciudad Bolívar;0
Radiaciones electromagnéticas;2017;Distrito;10
Contaminación por aire;2018;Usaquén;1
Contaminación por aire;2018;Chapinero;5
Contaminación por aire;2018;Santa Fe;1
Contaminación por aire;2018;San Cristóbal;3
Contaminación por aire;2018;Usme;1
Contaminación por aire;2018;Tunjuelito;3
Contaminación por aire;2018;Bosa;1
Contaminación por aire;2018;Kennedy;7
Contaminación por aire;2018;Fontibón;1
Contaminación por aire;2018;Engativá;0
Contaminación por aire;2018;Suba;3
Contaminación por aire;2018;Barrios Unidos;1
Contaminación por aire;2018;Teusaquillo;1
Contaminación por aire;2018;Los Mártires;1
Contaminación por aire;2018;Antonio Nariño;1
Contaminación por aire;2018;Puente Aranda;0
Contaminación por aire;2018;La Candelaria;1
Contaminación por aire;2018;Rafael Uribe Uribe;1
Contaminación por aire;2018;Ciudad Bolívar;4
Contaminación por aire;2018;Distrito;36
Humo de tabaco;2018;Usaquén;3
Humo de tabaco;2018;Chapinero;2
Humo de tabaco;2018;Santa Fe;1
Humo de tabaco;2018;San Cristóbal;1
Humo de tabaco;2018;Usme;0
Humo de tabaco;2018;Tunjuelito;0
Humo de tabaco;2018;Bosa;3
Humo de tabaco;2018;Kennedy;1
Humo de tabaco;2018;Fontibón;1
Humo de tabaco;2018;Engativá;5
Humo de tabaco;2018;Suba;3
Humo de tabaco;2018;Barrios Unidos;2
Humo de tabaco;2018;Teusaquillo;1
Humo de tabaco;2018;Los Mártires;1
Humo de tabaco;2018;Antonio Nariño;0
Humo de tabaco;2018;Puente Aranda;0
Humo de tabaco;2018;La Candelaria;1
Humo de tabaco;2018;Rafael Uribe Uribe;0
Humo de tabaco;2018;Ciudad Bolívar;0
Humo de tabaco;2018;Distrito;25
